"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.833906417E0,6.646179199E-2,2.100132751E-1,9.792935486E0,9.795412609E0
2.843924417E0,6.227050781E-2,1.938468933E-1,9.800719299E0,9.802833928E0
2.853942417E0,6.361770630E-2,1.990859985E-1,9.804012451E0,9.806239982E0
2.863959417E0,6.960525513E-2,1.974394226E-1,9.797725525E0,9.799961871E0
2.873977417E0,6.391708374E-2,1.951940918E-1,9.792935486E0,9.795089155E0
2.883995417E0,6.316864014E-2,1.914518738E-1,9.795031128E0,9.797105639E0
2.894013417E0,7.409591675E-2,1.944456482E-1,9.790690155E0,9.792901155E0
2.904031417E0,6.676116943E-2,1.981878662E-1,9.793683929E0,9.795916516E0
2.914048417E0,5.777984619E-2,2.002835083E-1,9.802964630E0,9.805180648E0
2.924066417E0,5.792953491E-2,1.983375549E-1,9.805659027E0,9.807835774E0
2.934084417E0,5.957611084E-2,2.016307068E-1,9.799072723E0,9.801327996E0
2.944102417E0,6.212081909E-2,1.950444031E-1,9.797126770E0,9.799264986E0
2.954120417E0,5.942642212E-2,2.028282166E-1,9.802066498E0,9.804344874E0
2.964138417E0,6.735992432E-2,2.064207458E-1,9.804162140E0,9.806566277E0
2.974155417E0,6.930587769E-2,1.992356873E-1,9.806257782E0,9.808526385E0
2.984173417E0,5.882766724E-2,1.968406677E-1,9.798024902E0,9.800178515E0
2.994191417E0,6.421646118E-2,1.932481384E-1,9.792187042E0,9.794304246E0
3.004209417E0,6.242019653E-2,2.016307068E-1,9.806108093E0,9.808379436E0
3.014227417E0,6.481521606E-2,1.980381775E-1,9.795180817E0,9.797396969E0
3.024244417E0,5.792953491E-2,2.029779053E-1,9.795180817E0,9.797454929E0
3.034262417E0,6.765930176E-2,1.968406677E-1,9.797126770E0,9.799337579E0
3.044280417E0,6.391708374E-2,1.968406677E-1,9.807455292E0,9.809638675E0
3.054298417E0,6.436614990E-2,1.939965820E-1,9.806108093E0,9.808238048E0
3.064316417E0,6.167175293E-2,1.924996948E-1,9.795629883E0,9.797715261E0
3.074333417E0,7.005432129E-2,2.049238586E-1,9.801018677E0,9.803411064E0
3.084351417E0,6.780899048E-2,2.074685669E-1,9.798923035E0,9.801353677E0
3.094369417E0,7.005432129E-2,1.939965820E-1,9.794881439E0,9.797052857E0
3.104387417E0,6.137237549E-2,2.002835083E-1,9.805509338E0,9.807746603E0
3.114405417E0,6.047424316E-2,1.907034302E-1,9.799372101E0,9.801414107E0
3.124422417E0,6.092330933E-2,1.938468933E-1,9.798473969E0,9.800580614E0
3.134440417E0,6.182144165E-2,1.974394226E-1,9.797426147E0,9.799610366E0
3.144458417E0,6.122268677E-2,2.001338196E-1,9.797426147E0,9.799661263E0
3.154476417E0,5.957611084E-2,1.992356873E-1,9.790540466E0,9.792748684E0
3.164494417E0,6.706054688E-2,1.998344421E-1,9.803713074E0,9.805978837E0
3.174511417E0,6.286926270E-2,2.013313293E-1,9.805359650E0,9.807627884E0
3.184529417E0,6.466552734E-2,2.001338196E-1,9.800569611E0,9.802826116E0
3.194547417E0,6.167175293E-2,2.025288391E-1,9.797426147E0,9.799713284E0
3.204565417E0,5.897735596E-2,2.037263489E-1,9.796677704E0,9.798973252E0
3.214583417E0,6.152206421E-2,1.936972046E-1,9.802814941E0,9.804921435E0
3.224600417E0,5.942642212E-2,1.953437805E-1,9.797875214E0,9.800002520E0
3.234618417E0,6.361770630E-2,2.044747925E-1,9.794132996E0,9.796473768E0
3.244636417E0,5.972579956E-2,2.017803955E-1,9.796827393E0,9.799087175E0
3.254654417E0,6.691085815E-2,2.010319519E-1,9.801318054E0,9.803607831E0
