"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.354073875E0,2.245330811E-3,9.969268799E-2,9.817933502E0,9.818439893E0
2.364090875E0,-2.095642090E-3,9.460327148E-2,9.843829651E0,9.844284452E0
2.374107875E0,3.143463135E-3,9.175918579E-2,9.874066772E0,9.874493620E0
2.384124875E0,-4.490661621E-4,9.445358276E-2,9.857601013E0,9.858053531E0
2.394140875E0,-8.532257080E-3,9.086105347E-2,9.871372375E0,9.871794219E0
2.404157875E0,-2.544708252E-3,8.666976929E-2,9.892927551E0,9.893307519E0
2.414174875E0,-2.993774414E-4,8.681945801E-2,9.866282959E0,9.866664945E0
2.424190875E0,-1.646575928E-3,1.040336609E-1,9.848919067E0,9.849468641E0
2.434207875E0,-1.901046753E-2,9.624984741E-2,9.845775604E0,9.846264402E0
2.444224875E0,-1.811233521E-2,1.004411316E-1,9.815089417E0,9.815620038E0
2.454240875E0,-1.257385254E-2,1.029858398E-1,9.775870972E0,9.776421505E0
2.464257875E0,-2.110610962E-2,1.125659180E-1,9.770931244E0,9.771602424E0
2.474274875E0,-2.035766602E-2,1.163081360E-1,9.753717041E0,9.754431718E0
2.484290875E0,-8.382568359E-3,1.212478638E-1,9.712702332E0,9.713462714E0
2.494307875E0,-7.933502197E-3,1.219963074E-1,9.684111786E0,9.684883434E0
2.504324875E0,-7.933502197E-3,1.166075134E-1,9.706714783E0,9.707418407E0
2.514340875E0,-4.490661621E-4,1.207987976E-1,9.680968323E0,9.681721966E0
2.524357875E0,3.742218018E-3,1.267863464E-1,9.671238556E0,9.672070305E0
2.534374875E0,8.232879639E-3,1.234931946E-1,9.693841553E0,9.694631628E0
2.544390875E0,6.137237549E-3,1.203497314E-1,9.699829102E0,9.700577628E0
2.554407875E0,1.721420288E-2,1.237925720E-1,9.731263733E0,9.732066315E0
2.564424875E0,1.990859985E-2,1.210981750E-1,9.763746185E0,9.764517433E0
2.574440875E0,1.392105103E-2,1.149609375E-1,9.788145447E0,9.788830426E0
2.584457875E0,-5.239105225E-3,1.293310547E-1,9.809101868E0,9.809955832E0
2.594474875E0,-3.891906738E-3,1.167572021E-1,9.811646576E0,9.812342020E0
2.604490875E0,-1.422042847E-2,1.121168518E-1,9.826615448E0,9.827265315E0
2.614507875E0,-1.167572021E-2,1.127156067E-1,9.836943970E0,9.837596647E0
2.624524875E0,-9.131011963E-3,1.128652954E-1,9.822723541E0,9.823376187E0
2.634540875E0,-1.137634277E-2,9.894424438E-2,9.816137238E0,9.816642484E0
