"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.897457208E0,-2.697390747E-1,1.184037781E-1,9.786648560E0,9.791081077E0
2.907472208E0,-2.787203979E-1,1.196012878E-1,9.783205719E0,9.787905990E0
2.917488208E0,-2.712359619E-1,1.202000427E-1,9.787397003E0,9.791892416E0
2.927504208E0,-2.676434326E-1,1.119671631E-1,9.784403229E0,9.788703499E0
2.937519208E0,-2.769241333E-1,1.264869690E-1,9.780361633E0,9.785098855E0
2.947535208E0,-2.752775574E-1,1.207987976E-1,9.777816925E0,9.782437012E0
2.957550208E0,-2.740800476E-1,1.185534668E-1,9.791139221E0,9.795692015E0
2.967566208E0,-2.824626160E-1,1.213975525E-1,9.787995758E0,9.792823058E0
2.977581208E0,-2.688409424E-1,1.181044006E-1,9.781858521E0,9.786264876E0
2.987597208E0,-2.764750671E-1,1.187031555E-1,9.791139221E0,9.795761132E0
2.997612208E0,-2.773731995E-1,1.191522217E-1,9.774374084E0,9.779034814E0
3.007628208E0,-2.805166626E-1,1.172062683E-1,9.769584045E0,9.774313241E0
3.017643208E0,-2.737806702E-1,1.203497314E-1,9.776020660E0,9.780594045E0
3.027659208E0,-2.725831604E-1,1.237925720E-1,9.786498871E0,9.791076873E0
3.037674208E0,-2.713856506E-1,1.130149841E-1,9.788444824E0,9.792858349E0
3.047690208E0,-2.683918762E-1,1.122665405E-1,9.784253540E0,9.788577798E0
3.057706208E0,-2.618055725E-1,1.107696533E-1,9.786349182E0,9.790477128E0
3.067721208E0,-2.709365845E-1,1.151106262E-1,9.780361633E0,9.784790788E0
3.077737208E0,-2.727328491E-1,1.196012878E-1,9.774823151E0,9.779358634E0
3.087752208E0,-2.806663513E-1,1.181044006E-1,9.780810699E0,9.785549560E0
3.097768208E0,-2.782713318E-1,1.166075134E-1,9.777218170E0,9.781872387E0
3.107783208E0,-2.730322266E-1,1.154100037E-1,9.781708832E0,9.786199147E0
3.117799208E0,-2.770738220E-1,1.164578247E-1,9.783205719E0,9.787821334E0
3.127814208E0,-2.659968567E-1,1.181044006E-1,9.777218170E0,9.781548861E0
3.137830208E0,-2.688409424E-1,1.161584473E-1,9.789792023E0,9.794171536E0
3.147845208E0,-2.761756897E-1,1.237925720E-1,9.791438599E0,9.796114916E0
3.157861208E0,-2.830613708E-1,1.206491089E-1,9.782906342E0,9.787744195E0
3.167877208E0,-2.748284912E-1,1.206491089E-1,9.787097626E0,9.791698874E0
3.177892208E0,-2.674937439E-1,1.202000427E-1,9.788594513E0,9.792986444E0
